x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
11.0,-0.5,-10.530046203771523,-137.55009384754098,137.95256500160076,81.93485481011476,-81.74125664024517,0.30302439569703893,-1.4259279015978634
11.25,-0.5,-10.647360713456363,-142.85143060066366,143.24767891599038,79.38621377572721,-79.19553187036851,0.2549862456366027,-1.5363504901866498
11.5,-0.5,-10.762255363616116,-148.2126735835287,148.60290290330573,77.42838525502762,-77.15308889155082,0.4823786900580211,-1.19908509276192
11.75,-0.5,-10.871601999224184,-153.62939671261213,154.01358142810227,74.65940308930847,-74.39937893617932,0.3838457088491875,-1.6935217114015566
12.0,-0.5,-10.97759777336299,-159.09757184810198,159.47584463120336,70.8432172078634,-70.74263310659195,0.1292802565873699,-1.1679310330717125
12.25,-0.5,-11.07865100395347,-164.6183181861627,164.99068819332834,68.0649757298562,-67.84590771150103,0.3486813528054693,-1.297319684386257
12.5,-0.5,-11.176205903936824,-170.189687588576,170.55625857735123,65.59620922367687,-65.45414063420554,0.1946303331020196,-1.3179471636132793
12.75,-0.5,-11.269474201674347,-175.8079489725879,176.16877126985437,62.867167783267554,-62.688871351306524,0.26568400881804466,-1.309615008305506
13.0,-0.5,-11.35917790695636,-181.4717101081444,181.82687505508167,60.59352571904304,-60.40754920829763,0.22805189588451927,-1.4706777759555727
13.25,-0.5,-11.446372905402214,-187.18099367562448,187.53064775146407,59.38478461982583,-59.19350059396401,0.30021678307037175,-1.1523350571030329
13.5,-0.5,-11.529880059294582,-192.93083550503607,193.2750512167905,55.83147289669913,-55.661676836154435,0.2680925710121992,-1.0592424662961295
13.75,-0.5,-11.608784194714666,-198.72174718124418,199.06053519782813,53.06845834198073,-52.889115972824015,0.2732504270386589,-1.1595933727932832
14.0,-0.5,-11.684143993517115,-204.55116253801327,204.88459511762707,50.81889527433845,-50.66831441164713,0.16829734213693429,-1.2958062677984916
14.25,-0.5,-11.757175843235148,-210.4187165009324,210.7469274692006,49.708144270637725,-49.53994828300413,0.2603299222443205,-1.0193488971538405
14.5,-0.5,-11.826966403305956,-216.3201180661775,216.64318732531126,46.575299957315416,-46.435410759819504,0.21302101919295025,-0.9416993456074876
14.75,-0.5,-11.892722113122375,-222.25582357029572,222.5737809135891,44.1369760681391,-44.00239552833043,0.1958661427173341,-0.9834122011656519
15.0,-0.5,-11.955459924568439,-228.22366953084165,228.53659741085406,41.92688627029949,-41.81634874589706,0.13027327413126627,-1.0600104025942938
15.25,-0.5,-12.015002170489975,-234.2220298169193,234.52999707652475,39.92823780224101,-39.827412218713164,0.12109094144073727,-0.9936033456863392
15.5,-0.5,-12.071811876377257,-240.2492482153855,240.552343389202,37.88587272589099,-37.7810290412952,0.1157795693263115,-1.0270023465772316
15.75,-0.5,-12.12552966624302,-246.3041036161091,246.60239238057272,35.96028078277993,-35.866623278348776,0.10441078096507989,-0.9584645962367159
16.0,-0.5,-12.176603882990534,-252.38494075283603,252.6785072002283,34.00845886843044,-33.91064508172376,0.10083268240674113,-0.9801474874697789
16.25,-0.5,-12.224735697807294,-258.4905672683182,258.7794766390453,32.17637452981224,-32.086176990862135,0.09611910223155735,-0.9155892744503399
16.5,-0.5,-12.270343028851824,-264.61943134079706,264.9037650943688,30.33776402095695,-30.239580093737835,0.09806614365041033,-0.9451749000416423
16.75,-0.5,-12.313120603570834,-270.7702945682047,271.05011595561143,28.54445336996805,-28.458187059725965,0.08211891599817776,-0.8944539740514919
17.0,-0.5,-12.353405584140228,-276.9416176561583,277.21700203908136,26.910489227757537,-26.821833316262435,0.06865074516206977,-0.8908283091040526
17.25,-0.5,-12.39174574928929,-283.1331028844133,283.4041448385517,25.484105217213507,-25.379418859171434,0.13850651177231554,-0.7422958501415164
17.5,-0.5,-12.427213929547396,-289.3427547805257,289.60950500636915,23.965265563658527,-23.86516574208626,0.09841729429666596,-0.8429653316952839
17.75,-0.5,-12.460766805676338,-295.56879748250196,295.83134511852813,22.096143635064063,-22.02461126278648,0.07462529883275708,-0.687354765115417
18.0,-0.5,-12.491702178111812,-301.81127168146355,302.0696713297924,20.557077859853138,-20.473045974142412,0.08192204667749882,-0.7285362823744104
